rank,batch,cmap name,dose,cell,score,up,down,instance_id
2829,619,econazole,9 ?M,HL60,0,0.193,0.531,2396
2830,772,cortisone,11 ?M,MCF7,0,0.192,0.743,7458
2831,630,zoxazolamine,24 ?M,HL60,0,0.192,0.599,1270
2832,650,LY-294002,10 ?M,HL60,0,0.192,0.492,2687
2833,700,flumetasone,10 ?M,MCF7,0,0.192,0.462,4734
2834,714,dexibuprofen,19 ?M,PC3,0,0.192,0.423,6712
2835,640,phenindione,18 ?M,HL60,0,0.192,0.645,1718
2836,693,(+/-)-catechin,14 ?M,PC3,0,0.192,0.838,4255
2837,706,lysergol,16 ?M,MCF7,0,0.192,0.666,4966
2838,747,meropenem,10 ?M,MCF7,0,0.192,0.709,7180
2839,623,desipramine,13 ?M,HL60,0,0.192,0.566,1596
2840,629,sulindac,11 ?M,HL60,0,0.192,0.697,1857
2841,757,valproic acid,200 ?M,MCF7,0,0.192,0.64,5574
2842,756,proxyphylline,17 ?M,MCF7,0,0.191,0.666,6494
2843,619,niflumic acid,14 ?M,HL60,0,0.191,0.603,2399
2844,1066,0316684-0000,10 ?M,MCF7,0,0.191,0.395,7052
2845,641,vinburnine,14 ?M,HL60,0,0.191,0.508,1788
2846,703,chlorambucil,13 ?M,PC3,0,0.191,0.471,4523
2847,613,lynestrenol,14 ?M,HL60,0,0.191,0.45,2037
2848,670,flumetasone,10 ?M,MCF7,0,0.191,0.548,3410
2849,707,fluspirilene,8 ?M,MCF7,0,0.191,0.477,5008
2850,729,ciprofloxacin,11 ?M,MCF7,0,0.191,0.489,5299
2851,659,caffeic acid,22 ?M,HL60,0,0.191,0.466,3053
2852,648,metoprolol,6 ?M,HL60,0,0.19,0.751,2543
2853,714,profenamine,11 ?M,PC3,0,0.19,0.611,6697
2854,701,cloperastine,11 ?M,PC3,0,0.19,0.592,4271
2855,692,scopolamine,12 ?M,PC3,0,0.19,0.545,4219
2856,622,fipexide,9 ?M,HL60,0,0.19,0.75,1560
2857,729,amikacin,7 ?M,MCF7,0,0.19,0.517,5314
2858,702,phentolamine,13 ?M,PC3,0,0.19,0.469,4336
2859,648,Prestwick-689,10 ?M,HL60,0,0.19,0.576,2514
2860,1050,0175029-0000,10 ?M,PC3,0,0.19,0.359,6875
2861,703,beta-escin,3 ?M,PC3,0,0.19,0.565,4544
2862,752,etanidazole,19 ?M,MCF7,0,0.19,0.526,6072
2863,617,oxolinic acid,15 ?M,PC3,0,0.19,0.454,2103
2864,630,bisoprolol,9 ?M,HL60,0,0.19,0.531,1287
2865,671,securinine,18 ?M,MCF7,0,0.19,0.475,3470
2866,651,sulfanilamide,23 ?M,HL60,0,0.19,0.572,2709
2867,708,dimethadione,31 ?M,MCF7,0,0.189,0.464,5668
2868,736,betazole,27 ?M,MCF7,0,0.189,0.561,5445
2869,665,Prestwick-1083,9 ?M,HL60,0,0.189,0.635,2976
2870,671,pipenzolate bromide,9 ?M,MCF7,0,0.189,0.451,3460
2871,703,paroxetine,1 ?M,PC3,0,0.189,0.596,4556
2872,747,trifluridine,14 ?M,MCF7,0,0.189,0.642,7176
2873,683,CP-320650-01,1 ?M,PC3,0,0.189,0.401,3825
2874,730,lynestrenol,14 ?M,MCF7,0,0.189,0.603,5355
2875,630,dequalinium chloride,8 ?M,HL60,0,0.189,0.508,1276
2876,677,pivampicillin,9 ?M,MCF7,0,0.189,0.516,3506
2877,640,triflusal,16 ?M,HL60,0,0.189,0.636,1717
2878,614,ampyrone,20 ?M,HL60,0,0.188,0.373,1402
2879,662,harmine,16 ?M,MCF7,0,0.188,0.654,2750
2880,772,chlorzoxazone,24 ?M,MCF7,0,0.188,0.67,7456
2881,644,solanine,5 ?M,HL60,0,0.188,0.765,2152
2882,659,rolitetracycline,8 ?M,HL60,0,0.188,0.648,3031
2883,504,resveratrol,10 ?M,MCF7,0,0.188,0.349,841
2884,691,metacycline,8 ?M,MCF7,0,0.188,0.357,4143
2885,732,azlocillin,8 ?M,PC3,0,0.188,0.586,5788
2886,1002,thioridazine,10 ?M,MCF7,0,0.188,0.455,5916
2887,744,securinine,18 ?M,MCF7,0,0.188,0.422,6831
2888,686,eldeline,8 ?M,MCF7,0,0.188,0.389,3831
2889,7a,verapamil,10 ?M,MCF7,0,0.188,0.438,161
2890,672,roxithromycin,5 ?M,MCF7,0,0.187,0.62,3331
2891,640,prenylamine,10 ?M,HL60,0,0.187,0.462,1737
2892,1084,CP-863187,10 ?M,MCF7,0,0.187,0.563,7508
2893,703,"2,6-dimethylpiperidine",27 ?M,PC3,0,0.187,0.73,4543
2894,645,pempidine,13 ?M,HL60,0,0.187,0.542,2172
2895,690,gramine,23 ?M,MCF7,0,0.187,0.664,4118
2896,749,natamycin,6 ?M,HL60,0,0.187,0.86,6126
2897,749,meprylcaine,15 ?M,HL60,0,0.187,0.402,6123
2898,711,0317956-0000,10 ?M,MCF7,0,0.187,0.473,3966
2899,38,estradiol,10 nM,ssMCF7,0,0.187,0.307,373
2900,712,Prestwick-860,35 ?M,PC3,0,0.187,0.583,4618
2901,713,thioperamide,10 ?M,PC3,0,0.187,0.459,4675
2902,752,alclometasone,8 ?M,MCF7,0,0.187,0.391,6094
2903,751,benzamil,11 ?M,MCF7,0,0.187,0.544,6056
2904,751,promazine,12 ?M,MCF7,0,0.187,0.463,6028
2905,714,propofol,22 ?M,PC3,0,0.187,0.519,6707
2906,654,carbarsone,15 ?M,MCF7,0,0.187,0.68,3250
2907,651,bucladesine,8 ?M,HL60,0,0.186,0.48,2741
2908,686,eucatropine,12 ?M,MCF7,0,0.186,0.418,3841
2909,649,flunixin,8 ?M,HL60,0,0.186,0.582,2552
2910,714,chlorprothixene,11 ?M,PC3,0,0.186,0.705,6692
2911,650,tanespimycin,1 ?M,HL60,0,0.186,0.576,2678
2912,641,lobeline,11 ?M,HL60,0,0.186,0.371,1770
2913,683,oxaprozin,14 ?M,PC3,0,0.186,0.729,3794
2914,502,carbamazepine,100 nM,MCF7,0,0.186,0.506,952
2915,728,(-)-isoprenaline,16 ?M,PC3,0,0.186,0.646,4495
2916,648,trichostatin A,100 nM,HL60,0,0.186,0.571,2523
2917,757,haloperidol,10 ?M,MCF7,0,0.186,0.712,5563
2918,626,fluphenazine,10 ?M,MCF7,0,0.186,0.54,1662
2919,750,clozapine,10 ?M,HL60,0,0.186,0.539,6188
2920,648,ricinine,24 ?M,HL60,0,0.186,0.522,2505
2921,658,mestranol,13 ?M,HL60,0,0.186,0.663,3008
2922,683,thiamazole,35 ?M,PC3,0,0.185,0.499,3815
2923,692,tolnaftate,13 ?M,PC3,0,0.185,0.387,4221
2924,1091,CP-319743,10 ?M,PC3,0,0.185,0.487,7537
2925,751,ethotoin,20 ?M,MCF7,0,0.185,0.631,6052
2926,58,oxamic acid,10 mM,MCF7,0,0.185,0.6,439
2927,646,terbutaline,7 ?M,MCF7,0,0.185,0.907,3202
2928,640,iobenguane,11 ?M,HL60,0,0.185,0.389,1729
2929,743,yohimbine,10 ?M,MCF7,0,0.185,0.543,6777
2930,708,altretamine,19 ?M,MCF7,0,0.185,0.655,5688
2931,709,Prestwick-857,12 ?M,PC3,0,0.184,0.43,6635
2932,626,alpha-estradiol,10 nM,MCF7,0,0.184,0.416,1635
2933,636,clindamycin,9 ?M,MCF7,0,0.184,0.4,2219
2934,672,procyclidine,12 ?M,MCF7,0,0.184,0.599,3330
2935,615,nimesulide,13 ?M,HL60,0,0.184,0.741,1428
2936,660,florfenicol,11 ?M,HL60,0,0.184,0.48,3083
2937,733,podophyllotoxin,10 ?M,PC3,0,0.184,0.49,5841
2938,653,clozapine,12 ?M,MCF7,0,0.184,0.439,2644
2939,626,rosiglitazone,10 ?M,MCF7,0,0.184,0.474,1658
2940,741,tranylcypromine,24 ?M,MCF7,0,0.184,0.633,5996
2941,647,vanoxerine,8 ?M,MCF7,0,0.184,0.294,3240
2942,664,alprostadil,11 ?M,HL60,0,0.184,0.499,2938
2943,659,phthalylsulfathiazole,10 ?M,HL60,0,0.184,0.712,3033
2944,710,ouabain,5 ?M,PC3,0,0.184,0.531,6680
2945,662,riboflavin,11 ?M,MCF7,0,0.184,0.518,2760
2946,630,ouabain,5 ?M,HL60,0,0.184,0.659,1302
2947,618,6-benzylaminopurine,18 ?M,HL60,0,0.184,0.455,2351
2948,610,khellin,15 ?M,PC3,0,0.184,0.487,1922
2949,753,melatonin,17 ?M,PC3,0,0.183,0.569,6293
2950,718,ceftazidime,6 ?M,PC3,0,0.183,0.373,5054
2951,725,haloperidol,10 ?M,MCF7,0,0.183,0.601,5200
2952,610,hydrochlorothiazide,13 ?M,PC3,0,0.183,0.384,1906
2953,677,torasemide,11 ?M,MCF7,0,0.183,0.504,3517
2954,661,proxymetacaine,12 ?M,HL60,0,0.183,0.744,3113
2955,651,drofenine,11 ?M,HL60,0,0.183,0.634,2714
2956,706,lactobionic acid,11 ?M,MCF7,0,0.183,0.584,4950
2957,738,todralazine,15 ?M,MCF7,0,0.183,0.472,5512
2958,708,domperidone,7 ?M,MCF7,0,0.183,0.48,5701
2959,24,exisulind,50 ?M,MCF7,0,0.183,0.551,314
2960,683,withaferin A,1 ?M,PC3,0,0.183,0.442,3819
2961,671,sulfametoxydiazine,14 ?M,MCF7,0,0.182,0.466,3453
2962,726,testosterone,12 ?M,MCF7,0,0.182,0.473,5271
2963,706,protoveratrine A,5 ?M,MCF7,0,0.182,0.772,4963
2964,614,gallamine triethiodide,4 ?M,HL60,0,0.182,0.457,1375
2965,738,gliclazide,12 ?M,MCF7,0,0.182,0.505,5514
2966,692,pregnenolone,13 ?M,PC3,0,0.182,0.475,4218
2967,25,LY-294002,10 ?M,MCF7,0,0.182,0.577,318
2968,705,iocetamic acid,7 ?M,MCF7,0,0.181,0.465,4425
2969,747,pyridoxine,19 ?M,MCF7,0,0.181,0.694,7171
2970,749,ronidazole,20 ?M,HL60,0,0.181,0.64,6134
2971,650,sirolimus,100 nM,HL60,0,0.181,0.507,2681
2972,642,mexiletine,19 ?M,MCF7,0,0.181,0.514,2324
2973,732,hexestrol,15 ?M,PC3,0,0.181,0.847,5776
2974,772,penbutolol,6 ?M,MCF7,0,0.181,0.427,7476
2975,636,chlorphenamine,10 ?M,MCF7,0,0.181,0.622,2217
2976,680,Prestwick-675,10 ?M,PC3,0,0.181,0.455,3682
2977,749,benzylpenicillin,11 ?M,HL60,0,0.181,0.661,6155
2978,701,flunixin,8 ?M,PC3,0,0.181,0.757,4273
2979,1086,CP-645525-01,10 ?M,MCF7,0,0.181,0.583,7515
2980,654,SR-95639A,10 ?M,MCF7,0,0.18,0.503,3272
2981,613,zimeldine,10 ?M,HL60,0,0.18,0.486,2012
2982,617,mafenide,18 ?M,PC3,0,0.18,0.369,2124
2983,672,amiprilose,12 ?M,MCF7,0,0.18,0.641,3339
2984,676,etofenamate,11 ?M,MCF7,0,0.18,0.514,7327
2985,670,demeclocycline,8 ?M,MCF7,0,0.18,0.509,3404
2986,622,streptomycin,3 ?M,HL60,0,0.18,0.735,1578
2987,603,fulvestrant,10 nM,PC3,0,0.18,0.749,1238
2988,662,berberine,11 ?M,MCF7,0,0.18,0.561,2770
2989,747,tomatidine,10 ?M,MCF7,0,0.18,0.682,7166
2990,687,alpha-ergocryptine,7 ?M,MCF7,0,0.18,0.476,3900
2991,1064,lomustine,100 ?M,MCF7,0,0.18,0.504,7045
2992,762,nipecotic acid,31 ?M,PC3,0,0.179,0.691,7296
2993,681,PNU-0230031,1 ?M,PC3,0,0.179,0.313,3735
2994,771,isotretinoin,13 ?M,MCF7,0,0.179,0.479,7438
2995,502,5248896,11 ?M,MCF7,0,0.179,0.752,955
2996,706,sulfabenzamide,14 ?M,MCF7,0,0.179,0.525,4979
2997,710,etoposide,7 ?M,PC3,0,0.179,0.462,6681
2998,1067,SB-202190,1 ?M,PC3,0,0.179,0.445,7058
2999,663,corynanthine,10 ?M,MCF7,0,0.179,0.748,2786
3000,629,metrifonate,16 ?M,HL60,0,0.179,0.547,1839
3001,505,celecoxib,10 ?M,MCF7,0,0.179,0.438,922
3002,658,roxithromycin,5 ?M,HL60,0,0.179,0.626,2992
3003,622,amodiaquine,9 ?M,HL60,0,0.179,0.551,1570
3004,732,ellipticine,16 ?M,PC3,0,0.179,0.556,5779
3005,745,clotrimazole,12 ?M,MCF7,0,0.179,0.458,6207
3006,681,sulfamethoxypyridazine,14 ?M,PC3,0,0.179,0.494,3711
3007,756,gliquidone,8 ?M,MCF7,0,0.179,0.542,6505
3008,663,hydroxyachillin,14 ?M,MCF7,0,0.179,0.596,2812
3009,673,nicotinic acid,32 ?M,MCF7,0,0.178,0.561,3381
3010,616,spironolactone,10 ?M,PC3,0,0.178,0.359,2064
3011,664,benzathine benzylpenicillin,4 ?M,HL60,0,0.178,0.535,2939
3012,688,amiprilose,12 ?M,PC3,0,0.178,0.417,4000
3013,771,trifluoperazine,8 ?M,MCF7,0,0.178,0.566,7420
3014,749,mesalazine,26 ?M,HL60,0,0.178,0.767,6162
3015,765,valproic acid,200 ?M,MCF7,0,0.178,0.46,6974
3016,82,novobiocin,100 ?M,MCF7,0,0.178,0.452,576
3017,701,myosmine,27 ?M,PC3,0,0.178,0.432,4293
3018,663,vitexin,9 ?M,MCF7,0,0.178,0.664,2810
3019,671,isoetarine,12 ?M,MCF7,0,0.178,0.476,3451
3020,766,naftifine,12 ?M,MCF7,0,0.178,0.511,7032
3021,743,acetylsalicylsalicylic acid,13 ?M,MCF7,0,0.178,0.437,6778
3022,714,mimosine,20 ?M,PC3,0,0.178,0.61,6703
3023,728,amrinone,21 ?M,PC3,0,0.177,0.518,4488
3024,730,adenosine phosphate,11 ?M,MCF7,0,0.177,0.588,5359
3025,707,diloxanide,12 ?M,MCF7,0,0.177,0.38,5025
3026,1075,GW-8510,10 ?M,PC3,0,0.177,0.79,7085
3027,655,amphotericin B,4 ?M,MCF7,0,0.177,0.589,3303
3028,619,triprolidine,13 ?M,HL60,0,0.177,0.559,2376
3029,762,moracizine,9 ?M,PC3,0,0.177,0.47,7297
3030,758,digoxigenin,10 ?M,MCF7,0,0.177,0.415,5640
3031,751,chlorcyclizine,12 ?M,MCF7,0,0.177,0.344,6053
3032,725,valproic acid,200 ?M,MCF7,0,0.177,0.492,5211
3033,513,sirolimus,100 nM,MCF7,0,0.177,0.745,1059
3034,715,buspirone,9 ?M,PC3,0,0.177,0.458,6743
3035,619,dimenhydrinate,9 ?M,HL60,0,0.177,0.674,2400
3036,699,halcinonide,9 ?M,MCF7,0,0.176,0.633,4703
3037,688,metronidazole,23 ?M,PC3,0,0.176,0.372,4023
3038,691,cinchocaine,12 ?M,MCF7,0,0.176,0.312,4149
3039,659,profenamine,11 ?M,HL60,0,0.176,0.673,3038
3040,1015,trichostatin A,1 ?M,PC3,0,0.176,0.717,5981
3041,651,ribostamycin,7 ?M,HL60,0,0.176,0.518,2705
3042,683,paroxetine,1 ?M,PC3,0,0.176,0.434,3821
3043,726,cotinine,23 ?M,MCF7,0,0.176,0.454,5246
3044,738,cyclic adenosine monophosphate,12 ?M,MCF7,0,0.176,0.545,5533
3045,754,S-propranolol,14 ?M,PC3,0,0.176,0.695,6343
3046,709,retrorsine,11 ?M,PC3,0,0.176,0.539,6601
3047,731,cefepime,7 ?M,PC3,0,0.175,0.389,5761
3048,764,ramipril,10 ?M,PC3,0,0.175,0.538,7144
3049,754,amitriptyline,13 ?M,PC3,0,0.175,0.506,6353
3050,754,trichostatin A,100 nM,PC3,0,0.175,0.457,6340
3051,626,nordihydroguaiaretic acid,1 ?M,MCF7,0,0.175,0.435,1648
3052,670,alpha-ergocryptine,7 ?M,MCF7,0,0.175,0.569,3434
3053,701,benzamil,11 ?M,PC3,0,0.175,0.324,4294
3054,738,flucloxacillin,8 ?M,MCF7,0,0.175,0.482,5527
3055,744,(-)-isoprenaline,16 ?M,MCF7,0,0.175,0.467,6833
3056,659,digoxigenin,10 ?M,HL60,0,0.175,0.6,3060
3057,642,lomefloxacin,10 ?M,MCF7,0,0.175,0.621,2310
3058,720,alpha-ergocryptine,7 ?M,MCF7,0,0.175,0.72,4374
3059,664,etamsylate,15 ?M,HL60,0,0.175,0.675,2915
3060,693,picrotoxinin,14 ?M,PC3,0,0.175,0.498,4260
3061,663,xylazine,18 ?M,MCF7,0,0.175,0.642,2788
3062,1080,BCB000040,10 ?M,MCF7,0,0.175,0.683,7488
3063,506,alpha-estradiol,10 nM,MCF7,0,0.174,0.836,990
3064,614,dexamethasone,9 ?M,HL60,0,0.174,0.37,1396
3065,746,tropine,28 ?M,MCF7,0,0.174,0.484,6264
3066,709,dl-alpha tocopherol,9 ?M,PC3,0,0.174,0.55,6616
3067,729,hydrocortisone,11 ?M,MCF7,0,0.174,0.537,5284
3068,506,nordihydroguaiaretic acid,1 ?M,MCF7,0,0.174,0.625,1003
3069,748,delsoline,9 ?M,MCF7,0,0.174,0.556,7212
3070,661,nipecotic acid,31 ?M,HL60,0,0.174,0.509,3121
3071,648,skimmianine,15 ?M,HL60,0,0.174,0.689,2504
3072,746,propidium iodide,6 ?M,MCF7,0,0.174,0.515,6277
3073,729,monobenzone,20 ?M,MCF7,0,0.174,0.547,5312
3074,662,papaverine,11 ?M,MCF7,0,0.174,0.548,2747
3075,732,saquinavir,5 ?M,PC3,0,0.174,0.526,5770
3076,664,tocainide,17 ?M,HL60,0,0.174,0.516,2931
3077,673,nizatidine,12 ?M,MCF7,0,0.174,0.334,3385
3078,1032,trichostatin A,1 ?M,PC3,0,0.174,0.678,6546
3079,659,dimethadione,31 ?M,HL60,0,0.174,0.539,3029
3080,772,trazodone,10 ?M,MCF7,0,0.174,0.704,7452
3081,631,SR-95531,11 ?M,HL60,0,0.173,0.472,1316
3082,664,fursultiamine,9 ?M,HL60,0,0.173,0.764,2929
3083,676,molindone,13 ?M,MCF7,0,0.173,0.426,7337
3084,765,haloperidol,10 ?M,MCF7,0,0.173,0.399,7003
3085,746,spironolactone,10 ?M,MCF7,0,0.173,0.502,6255
3086,665,levocabastine,9 ?M,HL60,0,0.173,0.67,2948
3087,711,indapamide,11 ?M,MCF7,0,0.173,0.295,3970
3088,725,LY-294002,10 ?M,MCF7,0,0.173,0.484,5224
3089,658,simvastatin,10 ?M,HL60,0,0.173,0.423,3002
3090,637,aztreonam,9 ?M,MCF7,0,0.173,0.394,2282
3091,631,cyanocobalamin,3 ?M,HL60,0,0.172,0.811,1315
3092,654,levothyroxine sodium,5 ?M,MCF7,0,0.172,0.733,3249
3093,506,thioridazine,10 ?M,MCF7,0,0.172,0.592,1010
3094,745,thiethylperazine,6 ?M,MCF7,0,0.172,0.54,6232
3095,623,sulfafurazole,15 ?M,HL60,0,0.172,0.534,1603
3096,727,geldanamycin,1 ?M,PC3,0,0.172,0.478,4452
3097,1028,C-75,10 ?M,MCF7,0,0.172,0.493,6423
3098,732,oxytetracycline,8 ?M,PC3,0,0.172,0.558,5772
3099,732,cinoxacin,15 ?M,PC3,0,0.172,0.548,5783
3100,671,ebselen,15 ?M,MCF7,0,0.172,0.517,3458
3101,730,hesperetin,13 ?M,MCF7,0,0.172,0.655,5350
3102,649,medrysone,12 ?M,HL60,0,0.172,0.59,2544
3103,681,finasteride,11 ?M,PC3,0,0.172,0.47,3744
3104,748,cefmetazole,8 ?M,MCF7,0,0.172,0.445,7222
3105,741,thalidomide,15 ?M,MCF7,0,0.172,0.534,5990
3106,764,ribostamycin,7 ?M,PC3,0,0.172,0.717,7123
3107,653,thioguanosine,13 ?M,MCF7,0,0.172,0.535,2619
3108,506,tanespimycin,1 ?M,MCF7,0,0.171,0.72,1005
3109,656,benperidol,10 ?M,MCF7,0,0.171,0.558,2836
3110,664,memantine,19 ?M,HL60,0,0.171,0.619,2934
3111,731,cicloheximide,14 ?M,PC3,0,0.171,0.438,5743
3112,728,aminophenazone,17 ?M,PC3,0,0.171,0.528,4481
3113,694,canavanine,14 ?M,MCF7,0,0.171,0.502,4782
3114,654,N-acetyl-L-aspartic acid,23 ?M,MCF7,0,0.171,0.654,3265
3115,1075,MS-275,10 ?M,PC3,0,0.171,0.492,7084
3116,731,sulfinpyrazone,10 ?M,PC3,0,0.171,0.459,5753
3117,735,nicardipine,8 ?M,MCF7,0,0.17,0.598,5397
3118,753,clopamide,12 ?M,PC3,0,0.17,0.542,6301
3119,657,Trolox C,16 ?M,MCF7,0,0.17,0.65,2883
3120,771,niflumic acid,14 ?M,MCF7,0,0.17,0.593,7430
3121,613,midecamycin,5 ?M,HL60,0,0.17,0.627,2026
3122,73,wortmannin,10 nM,SKMEL5,0,0.17,0.536,506
3123,747,kaempferol,14 ?M,MCF7,0,0.17,0.514,7196
3124,656,terconazole,8 ?M,MCF7,0,0.17,0.619,2844
3125,653,tacrine,16 ?M,MCF7,0,0.17,0.417,2633
3126,701,gossypol,8 ?M,PC3,0,0.169,0.516,4296
3127,758,phenoxybenzamine,12 ?M,MCF7,0,0.169,0.594,5613
3128,682,trichostatin A,100 nM,PC3,0,0.169,0.459,3787
3129,766,nimesulide,13 ?M,MCF7,0,0.169,0.568,7024
3130,752,streptozocin,15 ?M,MCF7,0,0.169,0.455,6098
3131,738,bethanechol,20 ?M,MCF7,0,0.169,0.467,5539
3132,673,paracetamol,26 ?M,MCF7,0,0.169,0.521,3364
3133,619,trazodone,10 ?M,HL60,0,0.169,0.636,2379
3134,720,parbendazole,16 ?M,MCF7,0,0.169,0.821,4357
3135,647,kanamycin,7 ?M,MCF7,0,0.169,0.479,3224
3136,758,amiodarone,6 ?M,MCF7,0,0.169,0.569,5618
3137,747,proadifen,10 ?M,MCF7,0,0.169,0.636,7165
3138,647,methapyrilene,13 ?M,MCF7,0,0.169,0.596,3205
3139,693,buflomedil,12 ?M,PC3,0,0.169,0.666,4258
3140,701,0179445-0000,10 ?M,PC3,0,0.169,0.866,4289
3141,736,nomegestrol,11 ?M,MCF7,0,0.169,0.478,5461
3142,751,helveticoside,7 ?M,MCF7,0,0.169,0.512,6047
3143,1084,daunorubicin,1 ?M,MCF7,0,0.168,0.449,7507
3144,752,sulfamethizole,15 ?M,MCF7,0,0.168,0.462,6099
3145,649,sulfamethoxypyridazine,14 ?M,HL60,0,0.168,0.593,2550
3146,615,alverine,8 ?M,HL60,0,0.168,0.528,1426
3147,711,PHA-00851261E,10 ?M,MCF7,0,0.168,0.897,3965
3148,702,sulfachlorpyridazine,14 ?M,PC3,0,0.168,0.824,4326
3149,754,flavoxate,9 ?M,PC3,0,0.168,0.64,6326
3150,8,sulindac,100 ?M,MCF7,0,0.168,0.645,168
3151,757,fluphenazine,10 ?M,MCF7,0,0.168,0.53,5597
3152,746,Prestwick-1085,15 ?M,MCF7,0,0.168,0.485,6250
3153,670,fluocinonide,8 ?M,MCF7,0,0.167,0.587,3414
3154,22a,fludrocortisone,1 ?M,MCF7,0,0.167,0.559,281
3155,514,yohimbine,23 ?M,MCF7,0,0.167,0.619,1119
3156,710,ciclopirox,15 ?M,PC3,0,0.167,0.51,6677
3157,654,Chicago Sky Blue 6B,4 ?M,MCF7,0,0.167,0.503,3266
3158,665,rimexolone,11 ?M,HL60,0,0.167,0.544,2955
3159,678,meprylcaine,15 ?M,MCF7,0,0.167,0.522,3544
3160,738,lisinopril,9 ?M,MCF7,0,0.166,0.724,5504
3161,671,hecogenin,9 ?M,MCF7,0,0.166,0.493,3457
3162,701,meclofenoxate,14 ?M,PC3,0,0.166,0.277,4268
3163,704,terconazole,8 ?M,PC3,0,0.166,0.463,4583
3164,664,proscillaridin,8 ?M,HL60,0,0.166,0.669,2920
3165,634,naringin,7 ?M,HL60,0,0.166,0.742,2425
3166,749,ticarcillin,9 ?M,HL60,0,0.166,0.704,6146
3167,505,celastrol,3 ?M,MCF7,0,0.166,0.521,887
3168,651,doxycycline,8 ?M,HL60,0,0.166,0.609,2737
3169,610,cimetidine,16 ?M,PC3,0,0.165,0.476,1884
3170,731,mevalolactone,31 ?M,PC3,0,0.165,0.533,5738
3171,690,Prestwick-864,35 ?M,MCF7,0,0.165,0.677,4113
3172,690,oxybuprocaine,12 ?M,MCF7,0,0.165,0.641,4115
3173,712,dehydrocholic acid,10 ?M,PC3,0,0.165,0.474,4620
3174,632,troleandomycin,5 ?M,MCF7,0,0.165,0.722,1465
3175,719,bupivacaine,12 ?M,PC3,0,0.165,0.45,5112
3176,708,hycanthone,11 ?M,MCF7,0,0.165,0.605,5691
3177,670,medrysone,12 ?M,MCF7,0,0.165,0.635,3403
3178,736,benzonatate,7 ?M,MCF7,0,0.165,0.497,5435
3179,714,cisapride,9 ?M,PC3,0,0.165,0.469,6706
3180,659,aminophylline,10 ?M,HL60,0,0.165,0.575,3036
3181,707,progesterone,13 ?M,MCF7,0,0.165,0.526,4992
3182,664,apramycin,7 ?M,HL60,0,0.165,0.662,2914
3183,730,midecamycin,5 ?M,MCF7,0,0.164,0.642,5345
3184,736,nabumetone,18 ?M,MCF7,0,0.164,0.6,5428
3185,743,isopropamide iodide,8 ?M,MCF7,0,0.164,0.506,6781
3186,505,5186223,12 ?M,MCF7,0,0.164,0.433,885
3187,628,allantoin,25 ?M,PC3,0,0.164,0.627,1800
3188,1033,PHA-00767505E,10 ?M,MCF7,0,0.164,0.688,6550
3189,664,etofenamate,11 ?M,HL60,0,0.164,0.646,2907
3190,75,SC-58125,10 ?M,HL60,0,0.164,0.361,542
3191,708,josamycin,5 ?M,MCF7,0,0.164,0.484,5692
3192,726,lorglumide,8 ?M,MCF7,0,0.164,0.416,5254
3193,653,bisoprolol,9 ?M,MCF7,0,0.164,0.501,2642
3194,732,mephenytoin,18 ?M,PC3,0,0.164,0.426,5801
3195,634,dicloxacillin,8 ?M,HL60,0,0.163,0.727,2445
3196,645,benfotiamine,9 ?M,HL60,0,0.163,0.637,2177
3197,1021,5707885,50 ?M,PC3,0,0.163,0.445,6390
3198,636,aminophenazone,17 ?M,MCF7,0,0.163,0.467,2222
3199,649,fenoprofen,7 ?M,HL60,0,0.163,0.523,2553
3200,744,epivincamine,11 ?M,MCF7,0,0.163,0.553,6838
3201,633,loxapine,9 ?M,MCF7,0,0.163,0.536,1516
3202,718,homatropine,11 ?M,PC3,0,0.163,0.384,5058
3203,737,diethylcarbamazine,10 ?M,MCF7,0,0.163,0.513,5485
3204,634,neostigmine bromide,13 ?M,HL60,0,0.163,0.45,2432
3205,635,norcyclobenzaprine,15 ?M,HL60,0,0.163,0.477,2469
3206,636,thioproperazine,6 ?M,MCF7,0,0.163,0.432,2236
3207,738,cyclizine,13 ?M,MCF7,0,0.163,0.441,5525
3208,735,dequalinium chloride,8 ?M,MCF7,0,0.163,0.444,5396
3209,665,risperidone,10 ?M,HL60,0,0.163,0.64,2947
3210,755,prasterone,12 ?M,MCF7,0,0.163,0.744,6474
3211,701,PNU-0230031,1 ?M,PC3,0,0.163,0.543,4291
3212,660,metyrapone,18 ?M,HL60,0,0.162,0.651,3070
3213,767,tanespimycin,1 ?M,MCF7,0,0.162,0.483,6944
3214,747,natamycin,6 ?M,MCF7,0,0.162,0.659,7167
3215,690,nafcillin,9 ?M,MCF7,0,0.162,0.639,4103
3216,762,econazole,9 ?M,PC3,0,0.162,0.497,7305
3217,618,mephenesin,22 ?M,HL60,0,0.162,0.465,2342
3218,703,orphenadrine,13 ?M,PC3,0,0.162,0.494,4537
3219,613,hesperetin,13 ?M,HL60,0,0.162,0.596,2031
3220,1054,scriptaid,10 ?M,PC3,0,0.162,0.588,6896
3221,732,alpha-yohimbine,10 ?M,PC3,0,0.161,0.415,5800
3222,650,tretinoin,1 ?M,HL60,0,0.161,0.632,2671
3223,749,meropenem,10 ?M,HL60,0,0.161,0.678,6141
3224,647,clorgiline,13 ?M,MCF7,0,0.161,0.528,3219
3225,701,lomefloxacin,10 ?M,PC3,0,0.161,0.544,4281
