"","eff_length"
"LNCTAM34A",985
"LNP1",2210
"LNPEP",12752
"LNPK",7647
"LNX1",3757
"LNX1-AS1",550
"LNX1-AS2",628
"LNX2",4627
"LOH12CR2",1540
"LONP1",3236
"LONP2",8199
"LONRF1",3594
"LONRF2",13912
"LONRF2P1",668
"LONRF2P2",571
"LONRF3",2989
"LOR",1230
"LOX",5102
"LOXHD1",6848
"LOXL1",2786
"LOXL1-AS1",2358
"LOXL2",3549
"LOXL3",3502
"LOXL4",3653
"LPA",6414
"LPAL2",2368
"LPAR1",3637
"LPAR2",2546
"LPAR3",3345
"LPAR4",2611
"LPAR5",3171
"LPAR6",3004
"LPCAT1",5610
"LPCAT2",5391
"LPCAT2BP",1534
"LPCAT3",2902
"LPCAT4",2262
"LPGAT1",7782
"LPGAT1-AS1",706
"LPIN1",5690
"LPIN2",6229
"LPIN3",4363
"LPL",3846
"LPO",3371
"LPP",18277
"LPP-AS1",494
"LPP-AS2",2852
"LPXN",2099
"LRAT",5002
"LRATD1",6355
"LRATD2",5404
"LRBA",10032
"LRCH1",4710
"LRCH2",4929
"LRCH3",7394
"LRCH4",4754
"LRCOL1",921
"LRFN1",3381
"LRFN2",3270
"LRFN3",3689
"LRFN4",2431
"LRFN5",4253
"LRG1",3036
"LRGUK",3163
"LRIF1",3475
"LRIG1",5283
"LRIG2",11555
"LRIG2-DT",2459
"LRIG3",4070
"LRIT1",2228
"LRIT2",3177
"LRIT3",3781
"LRMDA",3923
"LRMP",2715
"LRP1",14897
"LRP1-AS",645
"LRP10",6886
"LRP11",3260
"LRP12",5008
"LRP1B",16535
"LRP2",15808
"LRP2BP",5157
"LRP3",3807
"LRP4",8076
"LRP4-AS1",1504
"LRP5",5159
"LRP5L",3605
"LRP6",10020
"LRP8",7648
"LRPAP1",7819
"LRPPRC",6335
"LRR1",1886
"LRRC1",3180
"LRRC10",2599
"LRRC10B",2219
"LRRC14",5328
"LRRC14B",1573
"LRRC15",5883
"LRRC17",2002
"LRRC18",1626
"LRRC19",3609
"LRRC2",5100
"LRRC2-AS1",2291
"LRRC20",3414
"LRRC23",1628
"LRRC24",1758
"LRRC25",2415
"LRRC26",1209
"LRRC27",6374
"LRRC28",5971
"LRRC29",1940
"LRRC3",5869
"LRRC3-DT",784
"LRRC30",923
"LRRC31",2520
"LRRC32",4311
"LRRC34",3787
"LRRC34P1",915
"LRRC34P2",553
"LRRC36",2395
"LRRC37A",5177
"LRRC37A11P",3717
"LRRC37A12P",1801
"LRRC37A13P",287
"LRRC37A14P",462
"LRRC37A15P",1355
"LRRC37A16P",3725
"LRRC37A17P",4693
"LRRC37A2",5669
"LRRC37A3",5665
"LRRC37A4P",4939
"LRRC37A5P",1103
"LRRC37A6P",5444
"LRRC37A7P",2759
"LRRC37A9P",5376
"LRRC37B",3162
"LRRC37BP1",4742
"LRRC38",2209
"LRRC39",1951
"LRRC3B",1696
"LRRC3C",891
"LRRC4",3828
"LRRC40",2884
"LRRC41",4455
"LRRC42",2037
"LRRC43",2028
"LRRC45",2701
"LRRC46",2239
"LRRC47",4310
"LRRC49",6605
"LRRC4B",3019
"LRRC4C",4054
"LRRC52",1369
"LRRC52-AS1",2400
"LRRC53",3859
"LRRC55",5410
"LRRC56",2769
"LRRC57",7351
"LRRC58",7903
"LRRC59",2910
"LRRC6",1878
"LRRC61",1877
"LRRC63",2327
"LRRC66",3327
"LRRC69",1861
"LRRC6P1",885
"LRRC7",6507
"LRRC70",2249
"LRRC71",1959
"LRRC72",1000
"LRRC73",2121
"LRRC74A",1886
"LRRC74B",4803
"LRRC75A",3157
"LRRC75B",2943
"LRRC77P",2350
"LRRC8A",4619
"LRRC8B",7593
"LRRC8C",7218
"LRRC8C-DT",851
"LRRC8D",3950
"LRRC8E",3743
"LRRC9",4915
"LRRCC1",4493
"LRRD1",3511
"LRRFIP1",4370
"LRRFIP1P1",2246
"LRRFIP2",3585
"LRRIQ1",5394
"LRRIQ3",4524
"LRRIQ4",1827
"LRRK1",11632
"LRRK2",9158
"LRRN1",3823
"LRRN2",5036
"LRRN3",3725
"LRRN4",2692
"LRRN4CL",2585
"LRRTM1",4023
"LRRTM2",6017
"LRRTM3",4358
"LRRTM4",3616
"LRSAM1",3376
"LRTM1",1423
"LRTM2",3986
"LRTOMT",3604
"LRWD1",5491
"LSAMP",9446
"LSAMP-AS1",553
"LSG1",3572
"LSINCT5",2647
"LSM1",1568
"LSM10",1006
"LSM11",6584
"LSM12",2484
"LSM12P1",588
"LSM14A",3601
"LSM14B",2548
"LSM1P1",273
"LSM1P2",322
"LSM2",876
"LSM3",3815
"LSM3P2",273
"LSM3P3",306
"LSM3P4",309
"LSM3P5",306
"LSM4",1908
"LSM5",2258
"LSM6",1352
"LSM6P2",177
"LSM7",710
"LSM8",4030
"LSMEM1",1870
"LSMEM2",1494
"LSP1",2640
"LSP1P1",133
"LSP1P2",133
"LSP1P3",208
"LSP1P4",1194
"LSR",2480
"LSS",4936
"LST1",1832
"LTA",1507
"LTA4H",6109
"LTB",1388
"LTB4R",4110
"LTB4R2",3092
"LTBP1",6333
"LTBP2",8567
"LTBP3",4700
"LTBP4",5032
"LTBR",2327
"LTC4S",909
"LTF",2979
"LTK",3444
"LTN1",7756
"LTO1",3776
"LTV1",1847
"LTV1P1",1237
"LUADT1",453
"LUARIS",2916
"LUC7L",2737
"LUC7L2",2837
"LUC7L3",7040
"LUCAT1",2672
"LUM",3008
"LUNAR1",2516
"LURAP1",1854
"LURAP1L",1753
"LURAP1L-AS1",799
"LUZP1",8898
"LUZP2",5016
"LUZP4",1701
"LUZP4P1",344
"LUZP6",177
"LVRN",4581
"LXN",1116
"LY6D",1423
"LY6E",1419
"LY6E-DT",1781
"LY6G5B",2654
"LY6G5C",1428
"LY6G6C",992
"LY6G6D",523
"LY6G6E",776
"LY6G6F",920
"LY6G6F-LY6G6D",1266
"LY6H",1591
"LY6K",2724
"LY6L",988
"LY75",6886
"LY75-CD302",5650
"LY86",1197
"LY86-AS1",2819
"LY9",5083
"LY96",607
"LYAR",1569
"LYARP1",1501
"LYG1",1038
"LYG2",878
"LYL1",1547
"LYN",5808
"LYNX1",4708
"LYPD1",1891
"LYPD2",594
"LYPD3",1694
"LYPD4",2026
"LYPD5",2499
"LYPD6",4071
"LYPD6B",1719
"LYPD8",1233
"LYPD9P",454
"LYPLA1",2585
"LYPLA1P1",622
"LYPLA1P2",691
"LYPLA1P3",695
"LYPLA2",1810
"LYPLA2P1",696
"LYPLA2P2",676
"LYPLA2P3",576
"LYPLAL1",2169
"LYPLAL1-AS1",811
"LYPLAL1-DT",724
"LYRM1",1695
"LYRM2",5353
"LYRM4",7312
"LYRM7",6351
"LYRM9",2824
"LYSMD1",2479
"LYSMD2",1759
"LYSMD3",4259
"LYSMD4",3001
"LYST",13480
"LYST-AS1",521
"LYVE1",3273
"LYZ",1530
"LYZL1",815
"LYZL2",818
"LYZL4",904
"LYZL6",1047
"LZIC",2281
"LZTFL1",4342
"LZTR1",4572
"LZTS1",5706
"LZTS1-AS1",892
"LZTS2",5741
"LZTS3",5257
"M1AP",2543
"M6PR",2756
"MAATS1",4433
"MAB21L1",3028
"MAB21L2",2772
"MAB21L3",3229
"MAB21L4",2017
"MACC1",9159
"MACC1-AS1",639
"MACF1",24828
"MACO1",3917
"MACORIS",347
"MACROD1",1205
"MACROD2",4994
"MACROD2-AS1",1230
"MACROD2-IT1",665
"MAD1L1",2991
"MAD2L1",5468
"MAD2L1BP",1517
"MAD2L2",1860
"MADCAM1",1724
"MADD",6005
"MAEA",5371
"MAEL",2355
"MAF",6384
"MAF1",1754
"MAFA",2347
"MAFA-AS1",417
"MAFB",3393
"MAFF",3284
"MAFG",5040
"MAFG-DT",1895
"MAFK",3368
"MAFTRR",1859
"MAG",2426
"MAGEA1",1710
"MAGEA10",2741
"MAGEA10-MAGEA5",871
"MAGEA11",3370
"MAGEA12",1853
"MAGEA13P",951
"MAGEA2",2025
"MAGEA2B",1946
"MAGEA3",1762
"MAGEA4",1773
"MAGEA4-AS1",850
"MAGEA5",942
"MAGEA6",1762
"MAGEA7P",942
"MAGEA8",2112
"MAGEA8-AS1",476
"MAGEA9",1814
"MAGEA9B",1807
"MAGEB1",1866
"MAGEB10",1953
"MAGEB16",1818
"MAGEB17",1434
"MAGEB18",1811
"MAGEB2",1610
"MAGEB3",2305
"MAGEB4",2142
"MAGEB5",1216
"MAGEB6",1949
"MAGEB6B",1296
"MAGEC1",4270
"MAGEC2",1991
"MAGEC3",1932
"MAGED1",5418
"MAGED2",2189
"MAGED4",3015
"MAGED4B",3230
"MAGEE1",3630
"MAGEE2",2249
"MAGEF1",1636
"MAGEH1",1462
"MAGEL2",4298
"MAGI1",7415
"MAGI1-AS1",591
"MAGI1-IT1",2567
"MAGI2",6880
"MAGI2-AS1",472
"MAGI2-AS2",476
"MAGI2-AS3",8524
"MAGI3",6508
"MAGIX",3295
"MAGOH",756
"MAGOH2P",436
"MAGOH3P",447
"MAGOHB",2671
"MAGT1",4047
"MAIP1",1495
"MAJIN",2046
"MAK",3984
"MAK16",3991
"MAL",1112
"MAL2",2818
"MAL2-AS1",603
"MALAT1",8708
"MALINC1",2769
"MALL",3061
"MALRD1",6880
"MALSU1",3044
"MALT1",9368
"MAMDC2",3616
"MAMDC2-AS1",2097
"MAMDC4",4112
"MAML1",6559
"MAML2",7106
"MAML3",6844
"MAMLD1",4854
"MAMSTR",1837
"MAN1A1",5014
"MAN1A2",8576
"MAN1A2P1",1400
"MAN1B1",5048
"MAN1B1-DT",1872
"MAN1C1",4647
"MAN2A1",5599
"MAN2A2",6704
"MAN2B1",3685
"MAN2B2",7719
"MAN2C1",4820
"MANBA",7444
"MANBAL",1915
"MANCR",1478
"MANEA",4575
"MANEA-DT",2268
"MANEAL",2685
"MANF",1509
"MANSC1",5831
"MANSC4",1023
"MAOA",5438
"MAOB",2566
"MAP10",3516
"MAP11",2520
"MAP1A",10553
"MAP1B",12036
"MAP1LC3A",1574
"MAP1LC3B",3085
"MAP1LC3B2",732
"MAP1LC3BP1",516
"MAP1LC3C",1182
"MAP1LC3P",330
"MAP1S",3419
"MAP2",9711
"MAP2K1",3410
"MAP2K1P1",1188
"MAP2K2",2926
"MAP2K3",2401
"MAP2K4",3856
"MAP2K4P1",2539
"MAP2K5",2347
"MAP2K6",3076
"MAP2K7",3430
"MAP3K1",7011
"MAP3K10",3436
"MAP3K11",5605
"MAP3K12",5627
"MAP3K13",9876
"MAP3K14",4583
"MAP3K14-AS1",2475
"MAP3K15",4697
"MAP3K19",4377
"MAP3K2",10992
"MAP3K2-DT",2690
"MAP3K20",7179
"MAP3K20-AS1",2538
"MAP3K21",5809
"MAP3K3",4818
"MAP3K4",5490
"MAP3K5",5197
"MAP3K6",4309
"MAP3K7",4911
"MAP3K7CL",2093
"MAP3K8",3096
"MAP3K9",11169
"MAP4",8920
"MAP4K1",2700
"MAP4K2",7178
"MAP4K3",4362
"MAP4K3-DT",2517
"MAP4K4",7640
"MAP4K5",4812
"MAP6",4329
"MAP6D1",2111
"MAP7",4536
"MAP7D1",3456
"MAP7D2",3930
"MAP7D3",4567
"MAP9",7333
"MAPK1",11022
"MAPK10",4186
"MAPK11",2431
"MAPK12",6248
"MAPK13",6196
"MAPK14",4319
"MAPK15",2240
"MAPK1IP1L",6480
"MAPK3",2567
"MAPK4",4770
"MAPK6",5345
"MAPK6-DT",865
"MAPK6P1",2156
"MAPK6P2",2060
"MAPK6P3",2162
"MAPK6P4",2142
"MAPK6P5",987
"MAPK6P6",1053
"MAPK7",4533
"MAPK8",5844
"MAPK8IP1",3180
"MAPK8IP1P1",1439
"MAPK8IP1P2",1472
"MAPK8IP2",5596
"MAPK8IP3",5661
"MAPK9",4815
"MAPKAP1",3395
"MAPKAPK2",2961
"MAPKAPK3",2988
"MAPKAPK5",11349
"MAPKAPK5-AS1",2290
"MAPKAPK5P1",1376
"MAPKBP1",7232
"MAPRE1",2623
"MAPRE1P1",797
"MAPRE1P3",796
"MAPRE2",4323
"MAPRE3",1892
"MAPT",6816
"MAPT-AS1",1190
"MAPT-IT1",3016
"MARC1",7439
"MARC2",2134
"MARCH1",5877
"MARCH10",3338
"MARCH10-DT",1811
"MARCH11",1741
"MARCH2",1667
"MARCH3",4196
"MARCH4",4447
"MARCH5",3926
"MARCH6",9569
"MARCH7",5922
"MARCH8",5638
"MARCH9",2982
"MARCKS",4275
"MARCKSL1",1699
"MARCKSL1P1",541
"MARCKSL1P2",976
"MARCO",1838
"MARCOL",226
"MARF1",7743
"MARK1",5321
"MARK2",4728
"MARK2P10",1437
"MARK2P11",1670
"MARK2P12",585
"MARK2P13",1849
"MARK2P14",628
"MARK2P15",2186
"MARK2P16",1723
"MARK2P17",841
"MARK2P4",2380
"MARK2P5",634
"MARK2P6",897
"MARK2P8",952
"MARK2P9",1727
"MARK3",3584
"MARK3P1",643
"MARK3P3",727
"MARK4",5209
"MARS",3592
"MARS2",3019
"MARVELD1",3221
"MARVELD2",4376
"MARVELD3",2912
"MAS1",9841
"MAS1L",1260
"MAS1LP1",1047
"MASP1",5982
"MASP2",2439
"MAST1",4833
"MAST2",5738
"MAST3",5896
"MAST4",10711
"MAST4-AS1",777
"MAST4-IT1",658
"MASTL",3623
"MAT1A",3410
"MAT2A",2819
"MAT2B",3409
"MATK",2133
"MATN1",3832
"MATN1-AS1",3925
"MATN2",4106
"MATN3",2524
"MATN4",2200
"MATR3",13054
"MAU2",4994
"MAVS",11714
"MAX",3155
"MAZ",2698
"MB",1197
"MB21D2",3368
"MBD1",4905
"MBD2",5188
"MBD3",5518
"MBD3L1",872
"MBD3L2",793
"MBD3L2B",774
"MBD3L3",775
"MBD3L4",775
"MBD3L5",778
"MBD4",2478
"MBD5",9512
"MBD6",4282
"MBIP",1809
"MBL1P",1424
"MBL2",3569
"MBL3P",644
"MBLAC1",1502
"MBLAC2",4280
"MBNL1",6458
"MBNL1-AS1",6585
"MBNL2",4669
"MBNL3",11294
"MBOAT1",1794
"MBOAT2",7751
"MBOAT4",1512
"MBOAT7",3039
"MBP",9797
"MBTD1",5382
"MBTPS1",4338
"MBTPS2",4457
"MC1R",3637
"MC2R",3656
"MC3R",1084
"MC4R",1666
"MC5R",1200
"MCAM",4865
"MCAT",2056
"MCC",8257
"MCCC1",2874
"MCCC1-AS1",765
"MCCC2",3665
"MCCD1",955
"MCCD1P1",328
"MCCD1P2",335
"MCEE",836
"MCEMP1",1730
"MCF2",3945
"MCF2L",6580
"MCF2L-AS1",712
"MCF2L2",7813
"MCFD2",4210
"MCFD2P1",300
"MCHR1",2851
"MCHR2",2368
"MCHR2-AS1",821
"MCIDAS",2091
"MCL1",3932
"MCM10",4587
"MCM2",3622
"MCM3",3208
"MCM3AP",6333
"MCM3AP-AS1",2539
"MCM4",4183
"MCM5",4599
"MCM6",3736
"MCM7",3084
"MCM8",7486
"MCM8-AS1",983
"MCM9",7592
"MCMBP",4169
"MCMDC2",5096
"MCOLN1",2253
"MCOLN2",2871
"MCOLN3",2953
"MCPH1",8039
"MCPH1-AS1",2147
"MCRIP1",2979
"MCRIP2",2306
"MCRIP2P1",511
"MCRIP2P2",209
"MCRS1",2450
"MCTP1",5396
"MCTP1-AS1",527
"MCTP2",7555
"MCTS1",1130
"MCTS2P",546
"MCU",3224
"MCUB",2278
"MCUR1",5471
"MCUR1P1",475
"MCUR1P2",508
"MDC1",7576
"MDC1-AS1",738
"MDFI",1629
"MDFIC",5312
"MDFIC2",778
"MDGA1",10736
"MDGA2",5110
"MDH1",1650
"MDH1B",2553
"MDH2",2209
"MDK",1339
"MDM1",2918
"MDM2",12633
"MDM4",10073
"MDN1",18413
"MDP1",889
"MDS2",1781
"ME1",3371
"ME2",9100
"ME2P1",1970
"ME3",2311
"MEA1",1089
"MEAF6",2147
"MEAF6P1",327
"MEAK7",5046
"MECOM",5732
"MECP2",10505
"MECR",2416
"MED1",5844
"MED10",1141
"MED11",833
"MED12",6977
"MED12L",10744
"MED13",10465
"MED13L",14234
"MED13P1",171
"MED14",7984
"MED14OS",900
"MED14P1",648
"MED15",4701
"MED15P1",906
"MED15P3",326
"MED15P4",393
"MED15P5",992
"MED15P6",787
"MED15P7",822
"MED15P8",545
"MED15P9",1841
"MED16",3420
"MED17",4874
"MED18",1833
"MED19",1515
"MED20",2602
"MED21",1753
"MED22",4367
"MED23",5233
"MED24",3896
"MED25",3339
"MED26",3871
"MED27",1431
"MED28",10868
"MED28P1",571
"MED28P2",317
"MED28P3",531
"MED28P4",572
"MED28P5",438
"MED28P6",231
"MED28P7",530
"MED28P8",521
"MED29",3653
"MED30",985
"MED31",1654
"MED4",2022
"MED4-AS1",542
"MED6",1995
"MED6P1",713
"MED7",2402
"MED8",1924
"MED9",3351
"MEDAG",2374
"MEF2A",5824
"MEF2AP1",863
"MEF2B",1683
"MEF2BNBP1",330
"MEF2C",7561
"MEF2C-AS1",1754
"MEF2C-AS2",463
"MEF2D",5965
"MEFV",3710
"MEG3",6984
"MEG8",924
"MEG9",2638
"MEGF10",7594
"MEGF11",6163
"MEGF6",5455
"MEGF8",11034
"MEGF9",6298
"MEI1",4020
"MEI4",4800
"MEIG1",625
"MEIKIN",1578
"MEIOB",1884
"MEIOC",4604
"MEIS1",5111
"MEIS1-AS2",690
"MEIS1-AS3",707
"MEIS2",4829
"MEIS3",2195
"MEIS3P1",958
"MEIS3P2",1075
"MELK",2485
"MELTF",3963
"MELTF-AS1",951
"MEMO1",4505
"MEMO1P1",888
"MEMO1P3",302
"MEMO1P4",386
"MEMO1P5",406
"MEN1",3162
"MEOX1",2707
"MEOX2",2500
"MEP1A",2971
"MEP1AP4",1087
"MEP1B",2312
"MEPCE",3030
"MEPE",2226
"MERTK",3954
"MESD",4264
"MESP1",2369
"MESP2",1552
"MEST",2465
"MESTIT1",4118
"MESTP1",994
"MESTP2",889
"MESTP3",968
"MESTP4",1204
"MET",6635
"METAP1",2791
"METAP1D",3419
"METAP2",3601
"Metazoa_SRP",47468
"METRN",3325
"METRNL",1900
"METTL1",2066
"METTL11B",992
"METTL14",6669
"METTL14-DT",1512
"METTL15",4304
"METTL15P1",1045
"METTL15P3",1221
"METTL16",5711
"METTL17",2887
"METTL18",1521
"METTL21A",4805
"METTL21AP1",635
"METTL21C",1088
"METTL21EP",2312
"METTL22",4984
"METTL23",1184
"METTL24",1119
"METTL25",2093
"METTL26",1710
"METTL27",941
"METTL2A",3150
"METTL2B",5743
"METTL3",2523
"METTL4",5190
"METTL5",1370
"METTL6",4020
"METTL7A",4076
"METTL7AP1",496
"METTL7B",1506
"METTL8",8203
"METTL8P1",611
"METTL9",5603
"MEX3A",6124
"MEX3B",4333
"MEX3C",3850
"MEX3D",2850
"MFAP1",2155
"MFAP1P1",1255
"MFAP2",2371
"MFAP3",2891
"MFAP3L",6318
"MFAP4",1932
"MFAP5",2845
"MFF",3524
"MFGE8",2464
"MFHAS1",6414
"MFN1",5224
"MFN2",4539
"MFNG",2088
"MFRP",2280
"MFSD1",2423
"MFSD10",2173
"MFSD11",3612
"MFSD12",2124
"MFSD13A",2852
"MFSD13B",1290
"MFSD14A",2777
"MFSD14B",3420
"MFSD14C",786
"MFSD1P1",1327
"MFSD2A",2432
"MFSD2B",2834
"MFSD3",1548
"MFSD4A",4095
"MFSD4B",5958
"MFSD4BP1",1552
"MFSD5",2038
"MFSD6",4797
"MFSD6L",2188
"MFSD8",4510
"MFSD9",4049
"MGA",14439
"MGAM",9172
"MGAM2",7867
"MGARP",1339
"MGAT1",3175
"MGAT2",2687
"MGAT2P1",797
"MGAT2P2",797
"MGAT3",5062
"MGAT3-AS1",498
"MGAT4A",8432
"MGAT4B",3027
"MGAT4C",25116
"MGAT4D",3783
"MGAT4EP",2810
"MGAT5",8252
"MGAT5B",4492
"MGLL",4941
"MGME1",2336
"MGMT",1759
"MGP",1405
"MGRN1",6425
"MGST1",2152
"MGST2",1780
"MGST3",3101
"MHENCR",801
"MIA",632
"MIA-RAB4B",1229
"MIA2",4091
"MIA3",8142
"MIAT",10143
"MIATNB",1006
"MIB1",9576
"MIB2",4247
"MICA",2260
"MICAL1",4381
"MICAL2",6625
"MICAL3",9445
"MICALL1",4710
"MICALL2",5248
"MICB",2446
"MICC",1055
"MICD",813
"MICE",1157
"MICG",132
"MICOS10",3712
"MICOS10-NBL1",1623
"MICOS10P2",229
"MICOS10P3",203
"MICOS10P4",318
"MICOS13",896
"MICU1",2488
"MICU2",1920
"MICU3",3992
"MID1",6463
"MID1IP1",3781
"MID1IP1-AS1",376
"MID2",2876
"MIDN",3790
"MIEF1",5625
"MIEF2",3364
"MIEN1",1999
"MIER1",4978
"MIER2",2767
"MIER3",5240
"MIF",939
"MIF-AS1",1476
"MIF4GD",1531
"MIGA1",6409
"MIGA2",4345
"MIIP",1709
"MILR1",1447
"MIMT1",1290
"MINAR1",6732
"MINAR2",2354
"MINCR",689
"MINDY1",2817
"MINDY2",9238
"MINDY3",2452
"MINDY4",3573
"MINDY4B",819
"MINK1",5299
"MINPP1",2415
"MIOS",3453
"MIOX",1658
"MIOXP1",835
"MIP",2599
"MIPEP",2400
"MIPEPP1",2027
"MIPEPP2",1819
"MIPEPP3",444
"MIPOL1",7434
"MIR1-1",77
"MIR1-1HG",1220
"MIR1-1HG-AS1",2585
"MIR100",80
"MIR100HG",3370
"MIR101-1",75
"MIR101-2",91
"MIR103A1",86
"MIR103A2",78
"MIR105-1",81
"MIR105-2",81
"MIR106B",82
"MIR107",87
"MIR10B",110
"MIR1179",111
"MIR1180",69
"MIR1183",89
"MIR1184-1",99
"MIR1184-2",99
"MIR1184-3",99
"MIR1185-1",86
"MIR1185-2",86
"MIR1193",113
"MIR1197",110
"MIR1200",76
"MIR1202",83
"MIR1203",85
"MIR1205",63
"MIR1207",87
"MIR1208",73
"MIR1224",85
"MIR1225",90
"MIR1226",75
"MIR1227",88
"MIR1228",73
"MIR1229",69
"MIR122HG",4521
"MIR1231",92
"MIR1233-1",82
"MIR1233-2",82
"MIR1237",102
"MIR1238",83
"MIR124-2",109
"MIR124-2HG",2840
"MIR124-3",87
"MIR1245A",70
"MIR1249",112
"MIR1250",113
"MIR1251",84
"MIR1252",65
"MIR1253",105
"MIR1255A",113
"MIR1255B2",67
"MIR1256",119
"MIR1258",73
"MIR125A",86
"MIR125B1",88
"MIR125B2",89
"MIR126",85
"MIR1260A",73
"MIR1260B",108
"MIR1261",82
"MIR1262",93
"MIR1263",86
"MIR1264",112
"MIR1265",86
"MIR1266",113
"MIR1267",78
"MIR1268A",52
"MIR1268B",50
"MIR1269A",105
"MIR1269B",75
"MIR127",111
"MIR1270",83
"MIR1271",86
"MIR1272",129
"MIR1273C",77
"MIR1273H",116
"MIR1275",80
"MIR1276",83
"MIR1277",108
"MIR1278",81
"MIR128-1",111
"MIR128-2",84
"MIR1282",101
"MIR1283-1",87
"MIR1283-2",87
"MIR1284",120
"MIR1285-1",84
"MIR1285-2",88
"MIR1286",111
"MIR1288",75
"MIR1289-1",144
"MIR1289-2",111
"MIR129-1",73
"MIR129-2",108
"MIR1290",78
"MIR1291",112
"MIR1293",71
"MIR1294",142
"MIR1295A",79
"MIR1296",112
"MIR1298",112
"MIR1299",83
"MIR1301",112
"MIR1302-2HG",712
"MIR1302-3",138
"MIR1302-4",150
"MIR1302-5",150
"MIR1302-6",90
"MIR1302-7",77
"MIR1302-8",128
"MIR1303",86
"MIR1305",86
"MIR130A",89
"MIR132",101
"MIR1323",73
"MIR133A1HG",4226
"MIR133B",119
"MIR134",73
"MIR1343",84
"MIR135A1",90
"MIR135A2",100
"MIR135B",113
"MIR136",92
"MIR137HG",2639
"MIR138-1",99
"MIR138-2",110
"MIR139",68
"MIR140",110
"MIR141",95
"MIR145",88
"MIR1468",86
"MIR146B",110
"MIR1470",61
"MIR1471",57
"MIR147A",72
"MIR148A",111
"MIR148B",109
"MIR149",89
"MIR150",112
"MIR151A",112
"MIR151B",96
"MIR152",109
"MIR153-1",90
"MIR153-2",87
"MIR1537",61
"MIR1538",61
"MIR154",84
"MIR155HG",1600
"MIR1587",53
"MIR15B",98
"MIR16-1",89
"MIR16-2",81
"MIR17HG",2845
"MIR181A1",110
"MIR181A1HG",2308
"MIR181A2",110
"MIR181A2HG",662
"MIR181B1",110
"MIR181B2",89
"MIR181C",110
"MIR181D",137
"MIR182",112
"MIR1827",65
"MIR183",110
"MIR184",84
"MIR185",109
"MIR186",86
"MIR187",109
"MIR188",111
"MIR190A",85
"MIR190B",112
"MIR191",113
"MIR1911",80
"MIR1912",80
"MIR1913",80
"MIR1915",80
"MIR1915HG",3801
"MIR193A",88
"MIR193B",83
"MIR193BHG",651
"MIR194-1",85
"MIR194-2HG",3647
"MIR196A1",70
"MIR196A2",121
"MIR1972-1",77
"MIR1972-2",77
"MIR1976",52
"MIR199A1",71
"MIR199A2",110
"MIR199B",110
"MIR200A",111
"MIR200B",111
"MIR200C",109
"MIR200CHG",350
"MIR202HG",674
"MIR203A",110
"MIR204",131
"MIR2052HG",2125
"MIR2053",91
"MIR205HG",3348
"MIR206",112
"MIR208A",83
"MIR208B",77
"MIR210",110
"MIR210HG",1965
"MIR211",110
"MIR2113",91
"MIR2114",110
"MIR2115",100
"MIR2116",80
"MIR2117HG",506
"MIR212",110
"MIR215",110
"MIR216A",110
"MIR216B",82
"MIR217",112
"MIR217HG",900
"MIR218-1",110
"MIR218-2",110
"MIR219A1",110
"MIR221",110
"MIR222",112
"MIR222HG",1758
"MIR2276",89
"MIR2278",96
"MIR22HG",2626
"MIR2355",87
"MIR2392",84
"MIR23A",73
"MIR23B",97
"MIR23C",111
"MIR2467",81
"MIR25",84
"MIR2681",105
"MIR26A1",77
"MIR26A2",84
"MIR26B",110
"MIR27A",78
"MIR27B",108
"MIR28",86
"MIR2909",69
"MIR297",66
"MIR298",88
"MIR299",111
"MIR29B2CHG",15145
"MIR300",83
"MIR301A",86
"MIR301B",78
"MIR302A",69
"MIR302C",68
"MIR302CHG",640
"MIR302D",68
"MIR302E",72
"MIR3065",109
"MIR3074",85
"MIR30A",71
"MIR30B",88
"MIR30C1",89
"MIR30C2",113
"MIR30D",70
"MIR30E",113
"MIR31",71
"MIR3115",68
"MIR3116-1",74
"MIR3117",111
"MIR3118-1",76
"MIR3118-2",75
"MIR3118-3",75
"MIR3118-4",75
"MIR3119-2",85
"MIR3121",77
"MIR3122",73
"MIR3123",75
"MIR3124",67
"MIR3125",78
"MIR3126",74
"MIR3127",111
"MIR3128",66
"MIR3129",76
"MIR3130-2",75
"MIR3131",63
"MIR3132",75
"MIR3133",78
"MIR3134",74
"MIR3135A",77
"MIR3135B",68
"MIR3136",78
"MIR3137",75
"MIR3138",82
"MIR3139",76
"MIR3140",90
"MIR3141",61
"MIR3142",82
"MIR3142HG",2301
"MIR3143",63
"MIR3144",79
"MIR3145",82
"MIR3146",79
"MIR3147",66
"MIR3148",77
"MIR3149",112
"MIR3150BHG",2632
"MIR3151",76
"MIR3152",74
"MIR3153",82
"MIR3154",112
"MIR3155A",82
"MIR3156-1",75
"MIR3156-2",77
"MIR3156-3",77
"MIR3157",85
"MIR3158-1",81
"MIR3159",74
"MIR3160-1",85
"MIR3161",77
"MIR3162",82
"MIR3163",73
"MIR3164",83
"MIR3165",75
"MIR3166",92
"MIR3167",85
"MIR3168",82
"MIR3169",83
"MIR3170",77
"MIR3171",74
"MIR3173",68
"MIR3174",87
"MIR3176",90
"MIR3177",82
"MIR3178",84
"MIR3179-2",84
"MIR3179-3",84
"MIR3179-4",84
"MIR3180-1",94
"MIR3180-2",94
"MIR3180-3",94
"MIR3180-4",153
"MIR3180-5",153
"MIR3181",73
"MIR3182",63
"MIR3183",84
"MIR3185",68
"MIR3186",85
